experiment,boundary,control,replicate,mode_count,requested_mode_count,mode_indices,suppression_fraction,centering,positions,activation_delta_rms,calibration_activation_delta_rms,hard_nll,delta_hard_nll,answer_accuracy,answer_accuracy_drop,paired_context_accuracy,paired_accuracy_drop,mean_correct_probability,correct_probability_drop,mean_kl_base_to_intervened,logit_margin_drop
single_mode,layer.0.input,single,,1,,[0],1.0,position,null,0.18493513762950897,,0.14324913918972015,0.09486672654747963,0.9824841022491455,0.017515897750854492,0.9649681448936462,0.03503185510635376,0.8849478363990784,0.06786012649536133,0.07248036563396454,1.0329856872558594
single_mode,layer.0.input,single,,1,,[1],1.0,position,null,0.16189254820346832,,0.1020047515630722,0.05362233892083168,0.9952229261398315,0.004777073860168457,0.9904458522796631,0.009554147720336914,0.9094972014427185,0.04331076145172119,0.03645794093608856,0.8101344108581543
single_mode,layer.0.input,single,,1,,[2],1.0,position,null,0.1407056301832199,,0.053402893245220184,0.00502048060297966,1.0,0.0,1.0,0.0,0.9481643438339233,0.004643619060516357,0.0023730946704745293,0.17224550247192383
single_mode,layer.0.input,single,,1,,[3],1.0,position,null,0.1665700227022171,,0.17150099575519562,0.1231185831129551,0.9554139971733093,0.044586002826690674,0.9108280539512634,0.08917194604873657,0.8781704306602478,0.0746375322341919,0.10264735668897629,1.153752088546753
single_mode,layer.0.input,single,,1,,[4],1.0,position,null,0.1563882976770401,,0.0876474529504776,0.039265040308237076,0.993630588054657,0.006369411945343018,0.987261176109314,0.012738823890686035,0.9255986213684082,0.027209341526031494,0.029276076704263687,0.5841941833496094
single_mode,layer.0.input,single,,1,,[5],1.0,position,null,0.1353442221879959,,0.06828463822603226,0.019902225583791733,1.0,0.0,1.0,0.0,0.9349542260169983,0.017853736877441406,0.01044810377061367,0.3951406478881836
single_mode,layer.0.input,single,,1,,[6],1.0,position,null,0.12772776186466217,,0.07065623253583908,0.022273819893598557,0.9968152642250061,0.0031847357749938965,0.993630588054657,0.006369411945343018,0.9368546605110168,0.01595330238342285,0.013792021200060844,0.3829479217529297
single_mode,layer.0.input,single,,1,,[7],1.0,position,null,0.18712738156318665,,0.0702250748872757,0.02184266224503517,1.0,0.0,1.0,0.0,0.9330407381057739,0.01976722478866577,0.01260489970445633,0.5815577507019043
single_mode,layer.0.input,single,,1,,[8],1.0,position,null,0.1423358917236328,,0.05428784340620041,0.005905430763959885,1.0,0.0,1.0,0.0,0.9473704695701599,0.005437493324279785,0.002966431900858879,0.19061660766601562
single_mode,layer.0.input,single,,1,,[9],1.0,position,null,0.13081976771354675,,0.05091528594493866,0.0025328733026981354,1.0,0.0,1.0,0.0,0.9504149556159973,0.002393007278442383,0.001066056895069778,0.08625030517578125
single_mode,layer.0.input,single,,1,,[10],1.0,position,null,0.13739429414272308,,0.05350526049733162,0.005122847855091095,1.0,0.0,1.0,0.0,0.9481746554374695,0.004633307456970215,0.002335094613954425,0.1324162483215332
single_mode,layer.0.input,single,,1,,[11],1.0,position,null,0.12045901268720627,,0.05193239077925682,0.0035499781370162964,1.0,0.0,1.0,0.0,0.9496554136276245,0.0031525492668151855,0.001813146285712719,0.12096309661865234
single_mode,layer.0.input,single,,1,,[12],1.0,position,null,0.13006487488746643,,0.050908107310533524,0.0025256946682929993,1.0,0.0,1.0,0.0,0.9504371881484985,0.002370774745941162,0.0008216504356823862,0.09217023849487305
single_mode,layer.0.input,single,,1,,[13],1.0,position,null,0.1262938231229782,,0.10880784690380096,0.06042543426156044,0.987261176109314,0.012738823890686035,0.9745222926139832,0.025477707386016846,0.9342782497406006,0.01852971315383911,0.05398214980959892,0.22307395935058594
single_mode,layer.0.input,single,,1,,[14],1.0,position,null,0.12374120205640793,,0.05880924314260483,0.010426830500364304,0.9968152642250061,0.0031847357749938965,0.993630588054657,0.006369411945343018,0.9467641115188599,0.006043851375579834,0.008666247129440308,0.06339788436889648
single_mode,layer.0.input,single,,1,,[15],1.0,position,null,0.06955228000879288,,0.04859929531812668,0.00021688267588615417,1.0,0.0,1.0,0.0,0.9526031613349915,0.0002048015594482422,7.143717812141404e-05,0.009397506713867188
single_mode,layer.0.input,single,,1,,[16],1.0,position,null,0.10007555037736893,,0.04893746227025986,0.0005550496280193329,1.0,0.0,1.0,0.0,0.9522863626480103,0.0005216002464294434,0.00017930289322976023,0.02631855010986328
single_mode,layer.0.input,single,,1,,[17],1.0,position,null,0.1536056399345398,,0.04954320564866066,0.0011607930064201355,1.0,0.0,1.0,0.0,0.9517108798027039,0.0010970830917358398,0.0005820624064654112,0.0362858772277832
single_mode,layer.0.input,single,,1,,[18],1.0,position,null,0.1286924183368683,,0.049419235438108444,0.00103682279586792,1.0,0.0,1.0,0.0,0.9518347382545471,0.0009732246398925781,0.0002864824200514704,0.03905820846557617
single_mode,layer.0.input,single,,1,,[19],1.0,position,null,0.14751487970352173,,0.1121290996670723,0.06374668702483177,0.9840764403343201,0.01592355966567993,0.9681528806686401,0.03184711933135986,0.9366538524627686,0.016154110431671143,0.0581384152173996,0.17842340469360352
single_mode,layer.0.input,single,,1,,[20],1.0,position,null,0.16241319477558136,,0.08436767756938934,0.03598526492714882,0.993630588054657,0.006369411945343018,0.987261176109314,0.012738823890686035,0.9458507299423218,0.00695723295211792,0.033489253371953964,0.08954000473022461
single_mode,layer.0.input,single,,1,,[21],1.0,position,null,0.1395735740661621,,0.0489194318652153,0.0005370192229747772,1.0,0.0,1.0,0.0,0.9523087739944458,0.0004991888999938965,0.0002532296348363161,0.017486572265625
single_mode,layer.0.input,single,,1,,[22],1.0,position,null,0.10936230421066284,,0.04863792285323143,0.00025551021099090576,1.0,0.0,1.0,0.0,0.9525659680366516,0.00024199485778808594,6.928476068424061e-05,0.015332221984863281
single_mode,layer.0.input,single,,1,,[23],1.0,position,null,0.09055960923433304,,0.048511821776628494,0.00012940913438796997,1.0,0.0,1.0,0.0,0.9526841640472412,0.00012379884719848633,5.333439912647009e-05,0.004615306854248047
single_mode,layer.0.input,single,,1,,[24],1.0,position,null,0.13442306220531464,,0.0684027224779129,0.02002030983567238,0.9920381903648376,0.007961809635162354,0.9840764403343201,0.01592355966567993,0.9456882476806641,0.007119715213775635,0.018081048503518105,0.09295272827148438
single_mode,layer.0.input,single,,1,,[25],1.0,position,null,0.08342596143484116,,0.048570677638053894,0.00018826499581336975,1.0,0.0,1.0,0.0,0.952627956867218,0.0001800060272216797,4.8408695874968544e-05,0.006054401397705078
single_mode,layer.0.input,single,,1,,[26],1.0,position,null,0.06620470434427261,,0.04879984259605408,0.00041742995381355286,1.0,0.0,1.0,0.0,0.9524112343788147,0.000396728515625,2.3606673494214192e-05,0.010628700256347656
single_mode,layer.0.input,single,,1,,[27],1.0,position,null,0.05455439165234566,,0.048466701060533524,8.428841829299927e-05,1.0,0.0,1.0,0.0,0.952727198600769,8.07642936706543e-05,1.3087372281006537e-05,0.0031599998474121094
single_mode,layer.0.input,single,,1,,[28],1.0,position,null,0.127060666680336,,0.048996634781360626,0.0006142221391201019,1.0,0.0,1.0,0.0,0.9522333741188049,0.0005745887756347656,0.00021675354219041765,0.024344921112060547
single_mode,layer.0.input,single,,1,,[29],1.0,position,null,0.08251993358135223,,0.04847221449017525,8.98018479347229e-05,1.0,0.0,1.0,0.0,0.952724277973175,8.368492126464844e-05,4.2668936657719314e-05,0.0007419586181640625
single_mode,layer.0.input,single,,1,,[30],1.0,position,null,0.09889008849859238,,0.0484858974814415,0.00010348483920097351,1.0,0.0,1.0,0.0,0.9527111649513245,9.679794311523438e-05,4.102901220903732e-05,0.006414890289306641
single_mode,layer.0.input,single,,1,,[31],1.0,position,null,0.1284257024526596,,0.048382412642240524,0.0,1.0,0.0,1.0,0.0,0.9528079628944397,0.0,1.7455011880329607e-09,0.0
single_mode,layer.0.output,single,,1,,[0],1.0,position,null,0.24111022055149078,,0.0954841747879982,0.047101762145757675,0.987261176109314,0.012738823890686035,0.9745222926139832,0.025477707386016846,0.9223111867904663,0.03049677610397339,0.035109106451272964,0.5290570259094238
